Species,TotalSleep,BodyWt,LNBodyWt,BrainWt,LNBrainWt,LifeSpan,LNLifeSpan,Gestation,Predation,Exposure,Danger
Africangiantpouchedrat,8.3,1.00,0.00,6.60,1.89,4.5,1.50,42.00,3,1,3
Americanopossum,19.4,1.70,0.53,6.30,1.84,5.0,1.61,12.00,2,1,1
ArcticFox,12.5,3.39,1.22,44.50,3.80,14.0,2.64,60.00,1,1,1
Arcticgroundsquirrel,16.5,0.92,-0.08,5.70,1.74,,,25.00,5,2,3
Baboon,9.8,10.55,2.36,179.50,5.19,27.0,3.30,180.00,4,4,4
Bigbrownbat,19.7,0.02,-3.77,0.30,-1.20,19.0,2.94,35.00,1,1,1
Braziliantapir,6.2,160.00,5.08,169.00,5.13,30.4,3.41,392.00,4,5,4
Cat,14.5,3.30,1.19,25.60,3.24,28.0,3.33,63.00,1,2,1
Chimpanzee,9.7,52.16,3.95,440.00,6.09,50.0,3.91,230.00,1,1,1
Chinchilla,12.5,0.43,-0.86,6.40,1.86,7.0,1.95,112.00,5,4,4
Cow,3.9,465.00,6.14,423.00,6.05,30.0,3.40,281.00,5,5,5
Deserthedgehog,10.3,0.55,-0.60,2.40,0.88,,,,2,1,2
Donkey,3.1,187.10,5.23,419.00,6.04,40.0,3.69,365.00,5,5,5
Eastermericanmole,8.4,0.08,-2.59,1.20,0.18,3.5,1.25,42.00,1,1,1
Echid,8.6,3.00,1.10,25.00,3.22,50.0,3.91,28.00,2,2,2
Europeanhedgehog,10.7,0.79,-0.24,3.50,1.25,6.0,1.79,42.00,2,2,2
Galago,10.7,0.20,-1.61,5.00,1.61,10.4,2.34,120.00,2,2,2
Genet,6.1,1.41,0.34,17.50,2.86,34.0,3.53,,1,2,1
Giantarmadillo,18.1,60.00,4.09,81.00,4.39,7.0,1.95,,1,1,1
Goat,3.8,27.66,3.32,115.00,4.74,20.0,3.00,148.00,5,5,5
Goldenhamster,14.4,0.12,-2.12,1.00,0.00,3.9,1.36,16.00,3,1,2
Gorilla,12.0,207.00,5.33,406.00,6.01,39.3,3.67,252.00,1,4,1
Grayseal,6.2,85.00,4.44,325.00,5.78,41.0,3.71,310.00,1,3,1
Graywolf,13.0,36.33,3.59,119.50,4.78,16.2,2.79,63.00,1,1,1
Groundsquirrel,13.8,0.10,-2.29,4.00,1.39,9.0,2.20,28.00,5,1,3
Guineapig,8.2,1.04,0.04,5.50,1.70,7.6,2.03,68.00,5,3,4
Horse,2.9,521.00,6.26,655.00,6.48,46.0,3.83,336.00,5,5,5
Jaguar,10.8,100.00,4.61,157.00,5.06,22.4,3.11,100.00,1,1,1
Lessershort-tailedshrew,9.1,0.01,-5.30,0.14,-1.97,2.6,0.96,21.50,5,2,4
Littlebrownbat,19.9,0.01,-4.61,0.25,-1.39,24.0,3.18,50.00,1,1,1
Man,8.0,62.00,4.13,1320.00,7.19,100.0,4.61,267.00,1,1,1
Molerat,10.6,0.12,-2.10,3.00,1.10,,,30.00,2,1,1
Mountainbeaver,11.2,1.35,0.30,8.10,2.09,,,45.00,3,1,3
Mouse,13.2,0.02,-3.77,0.40,-0.92,3.2,1.16,19.00,4,1,3
Muskshrew,12.8,0.05,-3.04,0.33,-1.11,2.0,0.69,30.00,4,1,3
Nine-bandedarmadillo,17.4,3.50,1.25,10.80,2.38,6.5,1.87,120.00,2,1,1
Owlmonkey,17.0,0.48,-0.73,15.50,2.74,12.0,2.48,140.00,2,2,2
Patasmonkey,10.9,10.00,2.30,115.00,4.74,20.2,3.01,170.00,4,4,4
Phanlanger,13.7,1.62,0.48,11.40,2.43,13.0,2.56,17.00,2,1,2
Pig,8.4,192.00,5.26,180.00,5.19,27.0,3.30,115.00,4,4,4
Rabbit,8.4,2.50,0.92,12.10,2.49,18.0,2.89,31.00,5,5,5
Raccoon,12.5,4.29,1.46,39.20,3.67,13.7,2.62,63.00,2,2,2
Rat,13.2,0.28,-1.27,1.90,0.64,4.7,1.55,21.00,3,1,3
Redfox,9.8,4.24,1.44,50.40,3.92,9.8,2.28,52.00,1,1,1
Rhesusmonkey,9.6,6.80,1.92,179.00,5.19,29.0,3.37,164.00,2,3,2
Rockhyrax(Heterob),6.6,0.75,-0.29,12.30,2.51,7.0,1.95,225.00,2,2,2
Rockhyrax(Procaviahab),5.4,3.60,1.28,21.00,3.04,6.0,1.79,225.00,3,2,3
Roedeer,2.6,14.83,2.70,98.20,4.59,17.0,2.83,150.00,5,5,5
Sheep,3.8,55.50,4.02,175.00,5.16,20.0,3.00,151.00,5,5,5
Slowloris,11.0,1.40,0.34,12.50,2.53,12.7,2.54,90.00,2,2,2
Starnosedmole,10.3,0.06,-2.81,1.00,0.00,3.5,1.25,,3,1,2
Tenrec,13.3,0.90,-0.11,2.60,0.96,4.5,1.50,60.00,2,1,2
Treehyrax,5.4,2.00,0.69,12.30,2.51,7.5,2.01,200.00,3,1,3
Treeshrew,15.8,0.10,-2.26,2.50,0.92,2.3,0.83,46.00,3,2,2
Vervet,10.3,4.19,1.43,58.00,4.06,24.0,3.18,210.00,4,3,4
Wateropossum,19.4,3.50,1.25,3.90,1.36,3.0,1.10,14.00,2,1,1
