Wine_Quality,Fixed_Acidity,Volatile_Acidity,Citric_Acidity,Residual_Sugar,Chlorides,Free_Sulphur_Dioxide,Total_Sulphur_Dioxide,Ph,Sulfate,Alcohol
5,9.3,0.48,0.29,2.1,0.127,6,16,3.22,0.72,11.2
6,9.1,0.22,0.24,2.1,0.078,1,28,3.41,0.87,10.3
7,7.9,0.34,0.36,1.9,0.065,5,10,3.27,0.54,11.2
5,7.2,1,0,3,0.102,7,16,3.43,0.46,10
7,11.9,0.43,0.66,3.1,0.109,10,23,3.15,0.85,10.4
5,7.2,0.49,0.24,2.2,0.07,5,36,3.33,0.48,9.4
5,7.4,0.67,0.12,1.6,0.186,5,21,3.39,0.54,9.5
5,9.9,0.5,0.5,13.8,0.205,48,82,3.16,0.75,8.8
5,7.8,0.64,0,1.9,0.072,27,55,3.31,0.63,11
5,8.1,0.33,0.44,1.5,0.042,6,12,3.35,0.61,10.7
5,7,0.62,0.18,1.5,0.062,7,50,3.08,0.6,9.3
5,7.1,0.66,0,3.9,0.086,17,45,3.46,0.54,9.5
6,8.9,0.22,0.48,1.8,0.077,29,60,3.39,0.53,9.4
5,6.8,0.61,0.04,1.5,0.057,5,10,3.42,0.6,9.5
5,9.9,0.54,0.45,2.3,0.071,16,40,3.39,0.62,9.4
4,10.1,0.94,0.22,3.4,0.105,11,86,3.43,0.64,11.3
5,10.7,0.9,0.34,6.6,0.112,23,99,3.22,0.68,9.3
5,8.2,0.43,0.29,1.6,0.081,27,45,3.25,0.54,10.3
6,11.4,0.63,0.66,6.2,0.088,6,24,3.11,0.99,13.3
5,7.9,0.43,0.21,1.6,0.106,10,37,3.17,0.91,9.5
6,7.5,0.53,0.06,2.6,0.086,20,44,3.38,0.59,10.7
5,7.9,0.69,0.21,2.1,0.08,33,141,3.25,0.51,9.9
6,6.1,0.48,0.09,1.7,0.078,18,30,3.45,0.54,11.2
6,7,0.75,0.12,1.8,0.114,15,64,3.22,0.59,9.5
6,7.3,0.4,0.3,1.7,0.08,33,79,3.41,0.65,9.5
6,9.8,0.25,0.49,2.7,0.088,15,33,3.42,0.9,10
5,15.9,0.36,0.65,7.5,0.096,22,71,2.98,0.84,14.9
5,8.1,0.58,0.22,2.1,0.077,12,65,3.29,0.51,9.2
6,8,0.38,0.44,1.9,0.098,6,15,3.3,0.64,11.4
5,7.4,0.39,0.48,2,0.082,14,67,3.34,0.55,9.2
6,10.6,0.31,0.49,2.5,0.067,6,21,3.26,0.86,10.7
4,8,0.83,0.27,2,0.08,11,63,3.29,0.48,9.8
5,7.1,0.68,0,2.3,0.087,17,26,3.45,0.53,9.5
5,7.6,0.41,0.49,2,0.088,16,43,3.48,0.64,9.1
7,7.8,0.32,0.44,2.7,0.104,8,17,3.33,0.78,11
6,5.9,0.61,0.08,2.1,0.071,16,24,3.56,0.77,11.1
7,5.2,0.48,0.04,1.6,0.054,19,106,3.54,0.62,12.2
6,10.2,0.33,0.46,1.9,0.081,6,9,3.1,0.48,10.4
5,7.3,0.37,0.49,2.5,0.088,39,106,3.36,0.78,11
6,7.7,0.26,0.26,2,0.052,19,77,3.15,0.79,10.9
5,7.7,0.39,0.12,1.7,0.097,19,27,3.16,0.49,9.4
6,7.4,0.68,0.16,1.8,0.078,12,39,3.5,0.7,9.9
5,7.9,0.35,0.21,1.9,0.073,46,102,3.27,0.58,9.5
5,6.5,0.46,0.14,2.4,0.114,9,37,3.66,0.65,9.8
6,7,0.65,0.02,2.1,0.066,8,25,3.47,0.67,9.5
6,6.2,0.51,0.14,1.9,0.056,15,34,3.48,0.57,11.5
5,8.4,0.62,0.09,2.2,0.084,11,108,3.15,0.66,9.8
6,10.1,0.65,0.37,5.1,0.11,11,65,3.32,0.64,10.4
6,7.8,0.48,0.68,1.7,0.415,14,32,3.09,1.06,9.1
7,10.4,0.24,0.46,1.8,0.075,6,21,3.25,1.02,10.8
7,10.5,0.51,0.64,2.4,0.107,6,15,3.09,0.66,11.8
6,6.3,0.47,0,1.4,0.055,27,33,3.45,0.48,12.3
5,7.8,0.43,0.32,2.8,0.08,29,58,3.31,0.64,10.3
3,7.1,0.88,0.05,5.7,0.082,3,14,3.4,0.52,10.2
6,12.4,0.4,0.51,2,0.059,6,24,3.04,0.6,9.3
5,8.8,0.44,0.49,2.8,0.083,18,111,3.3,0.6,9.5
4,8.3,0.85,0.01,2.2,0.07,5,14,3.32,0.58,11
6,9,0.4,0.43,2.4,0.068,29,46,3.2,0.6,12.2
6,7.7,0.63,0.08,1.9,0.076,15,27,3.32,0.54,9.5
6,8.2,0.35,0.33,2.4,0.076,11,47,3.27,0.81,11
5,7.1,0.68,0,2.2,0.073,12,22,3.48,0.5,9.3
5,10.2,0.67,0.39,1.9,0.054,6,17,3.17,0.47,10
7,5.3,0.57,0.01,1.7,0.054,5,27,3.57,0.84,12.5
6,10,0.42,0.5,3.4,0.107,7,21,3.26,0.93,11.8
7,11.1,0.31,0.53,2.2,0.06,3,10,3.02,0.83,10.9
5,7.7,0.69,0.22,1.9,0.084,18,94,3.31,0.48,9.5
6,8.4,0.36,0.32,2.2,0.081,32,79,3.3,0.72,11
6,7.1,0.59,0.01,2.3,0.08,27,43,3.42,0.58,10.7
5,8.1,0.66,0.22,2.2,0.069,9,23,3.3,1.2,10.3
7,7.7,0.58,0.01,1.8,0.088,12,18,3.32,0.56,10.5
5,9.9,0.74,0.19,5.8,0.111,33,76,3.14,0.55,9.4
5,6.1,0.71,0.1,2.8,0.081,13,28,3.6,0.66,10.2
7,9.9,0.4,0.53,6.7,0.097,6,19,3.27,0.82,11.7
5,6.4,0.63,0.21,1.6,0.08,12,32,3.58,0.66,9.8
7,15.6,0.69,0.76,3.7,0.1,6,43,2.95,0.68,11.2
5,7,0.69,0,1.9,0.067,40,63,3.6,0.81,9.9
6,7.3,0.67,0.02,2.2,0.072,31,92,3.32,0.68,11.1
5,11,0.2,0.48,2,0.343,6,18,3.3,0.71,10.5
5,7.7,0.54,0.26,1.9,0.089,23,147,3.26,0.59,9.7
6,6.8,0.41,0.31,8.8,0.084,26,45,3.38,0.64,10.1
6,5.7,0.6,0,1.4,0.063,11,18,3.45,0.56,12.2
6,8.7,0.54,0.26,2.5,0.097,7,31,3.27,0.6,9.3
6,10.6,0.48,0.64,2.2,0.111,6,20,3.26,0.66,11.7
6,6,0.51,0,2.1,0.064,40,54,3.54,0.93,10.7
7,8,0.31,0.45,2.1,0.216,5,16,3.15,0.81,12.5
6,9.4,0.69,0.11,2.7,0.077,6,31,3.19,0.7,10.1
5,8.2,0.89,0.2,1.4,0.086,7,31,3.11,0.46,10
5,8.3,0.72,0.15,1.8,0.089,10,52,3.23,0.77,9.5
7,7,0.6,0.12,2.2,0.083,13,28,3.52,0.62,10.2
6,7.8,0.53,0.04,1.7,0.076,17,31,3.33,0.56,10
6,5.2,0.34,0,1.8,0.05,27,63,3.68,0.79,14
6,10.1,0.45,0.23,1.9,0.082,10,18,3.22,0.65,9.3
6,7.6,0.51,0.24,2.4,0.091,8,38,3.47,0.66,9.6
7,9.1,0.3,0.41,2,0.068,10,24,3.27,0.85,11.7
5,7,0.74,0.05,2,0.081,13,54,3.39,0.57,9.8
5,8.2,0.28,0.6,3,0.104,10,22,3.39,0.68,10.6
7,10.1,0.38,0.5,2.4,0.104,6,13,3.22,0.65,11.6
6,9.5,0.37,0.52,2,0.088,12,51,3.29,0.58,11.1
5,7.4,0.53,0.12,1.9,0.165,4,12,3.26,0.86,9.2
6,11.6,0.44,0.64,2.1,0.059,5,15,3.21,0.67,10.2
5,9.2,0.43,0.49,2.4,0.086,23,116,3.23,0.64,9.5
5,8.3,0.6,0.25,2.2,0.118,9,38,3.15,0.53,9.8
6,7.3,0.33,0.47,2.1,0.077,5,11,3.33,0.53,10.3
5,13,0.32,0.65,2.6,0.093,15,47,3.05,0.61,10.6
6,9.1,0.76,0.68,1.7,0.414,18,64,2.9,1.33,9.1
5,7.1,0.71,0,1.9,0.08,14,35,3.47,0.55,9.4
6,8.8,0.55,0.04,2.2,0.119,14,56,3.21,0.6,10.9
6,8,0.48,0.34,2.2,0.073,16,25,3.28,0.66,12.4
